0,xxxSNAMEyyy communication was sent in the month of May 2017 . -Manoj n/n,xxxSNAMEyyy communication was sent in the month of May 2017 . - Manoj,1,1
15487,xxxSNAMEyyy waking up at 9am to a receipt for an Uber I supposedly ordered at 8:25am . How can I not appeal in app ? Make it easier damn,xxxSNAMEyyy waking up at 0900 hours to a receipt for an Uber I supposedly ordered at 0825 hours . How can I not appeal in app ? Make it easier damn,1,1
15488,xxxSNAMEyyy Mention this Ref No . TW2010171336 in the subject of your mail so it 'll help us track your e-mail . -Anay n/n,xxxSNAMEyyy Mention this Reference Number TW2010171336 in the subject of your mail so it will help us track your e-mail .,1,1
15489,xxxSNAMEyyy Kindly address the problem of linking xxxSNAMEyyy account to xxxSNAMEyyy . See DM !,xxxSNAMEyyy Kindly address the problem of linking xxxSNAMEyyy account to xxxSNAMEyyy . See Direct Message !,1,1
15490,xxxSNAMEyyy Could you give me an update please ? ?,xxxSNAMEyyy Could you give me an update please ?,1,1
15491,"xxxSNAMEyyy Hi Varun , we have taken note of your comments expressed and you may look forward to receive a response t xxxURLyyy","xxxSNAMEyyy Hi Varun , we have taken note of your comments expressed and you may look forward to receive a response xxxURLyyy",1,1
15492,xxxSNAMEyyy someone please help me ... .Internet banking not working online transfer not working ... what will I do ? ? ? Please help,xxxSNAMEyyy someone please help me . Internet banking not working online transfer not working . what will I do ? Please help,1,1
15493,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy NPA is cancer +AIDS .,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy NPA is cancer + AIDS .,0,1
15494,xxxSNAMEyyy prepayment for Edu loan done 4 days ago . Still no credit in loan a/c ! Fantastic service ! !,xxxSNAMEyyy prepayment for Education loan done 4 days ago . Still no credit in loan account ! Fantastic service !,0,1
15495,"xxxSNAMEyyy Hi , we need more information so we can review your inquiry . il","xxxSNAMEyyy Hi , we need more information so we can review your inquiry .",1,1
15496,xxxSNAMEyyy is this text valid Contact Bank of America today regarding your account at xxxURLyyy or call 1-888-795-6262 ?,xxxSNAMEyyy is this text valid Contact Bank of America today regarding your account at xxxURLyyy or call 1-888-795-6262 ?,1,1
15497,xxxSNAMEyyy Pls click below to send your cousin 's name/zip/phone # so we can follow up . Thanks . ^vt xxxURLyyy,xxxSNAMEyyy Please click below to send your cousin name or zip or phone number so we can follow up . Thanks . xxxURLyyy,1,1
15498,"xxxSNAMEyyy Please elaborate your concern , we will be happy to assist you .",,1,1
15499,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxURLyyy,,1,-1
15500,xxxSNAMEyyy you to share the relevant details at xxxURLyyy under ATM Related category . Our team will look in the matter . ( 2/2,xxxSNAMEyyy you to share the relevant details at xxxURLyyy under ATM Related category . Our team will look in the matter .,1,1
15501,xxxSNAMEyyy Thanks so much .,xxxSNAMEyyy Thanks so much .,2,1
15502,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxURLyyy,,1,-1
15503,xxxSNAMEyyy public and may compromise your privacy and safety of your account . We request you to remove the tweet with your personal ( 2/4,xxxSNAMEyyy public and may compromise your privacy and safety of your account . We request you to remove the tweet with your personal,1,1
15504,xxxSNAMEyyy when will i get solution of my problem ? ?,xxxSNAMEyyy when will i get solution of my problem ?,1,1
15505,xxxSNAMEyyy I am worried it has been more than 48 hours since I did the transaction . Got confirmation from DBS xxxURLyyy,xxxSNAMEyyy I am worried it has been more than 48 hours since I did the transaction . Got confirmation from DBS xxxURLyyy,1,1
15506,xxxSNAMEyyy I m again visit at bank right now,xxxSNAMEyyy I am again visit at bank right now,1,1
15507,"xxxSNAMEyyy Hi , Thanks for reaching out . For the privacy amp ; security of our employees we 're not able to confirm employment . ^ra","xxxSNAMEyyy Hi , Thanks for reaching out . For the privacy and security of our employees we are not able to confirm employment .",1,1
15508,xxxSNAMEyyy Here please,xxxSNAMEyyy Here please,1,1
15509,I have already make onlinepayment of 7244-2421858of Rs437/-.Payment still not received by xxxSNAMEyyy xxxSNAMEyyy . Plz help xxxSNAMEyyy,I have already make online payment of 7244-2421858 of Rupees 437 . Payment still not received by xxxSNAMEyyy xxxSNAMEyyy . Please help xxxSNAMEyyy,1,1
15510,"xxxSNAMEyyy Please read my DM , it 's urgent .","xxxSNAMEyyy Please read my Direct Message , it is urgent .",1,1
15511,"xxxSNAMEyyy Hi , we are concerned about your feedback . Please DM us your contact details . Our official will contact you .","xxxSNAMEyyy Hi , we are concerned about your feedback . Please Direct Message us your contact details . Our official will contact you .",1,1
15512,"xxxSNAMEyyy Hello Caitlin , thank you for sharing this fake e-mail . Protecting you and your account is my number on xxxURLyyy","xxxSNAMEyyy Hello Caitlin , thank you for sharing this fake e-mail . Protecting you and your account is my number on xxxURLyyy",1,1
15513,xxxSNAMEyyy why i am unable to login ? ? ? neither customer care picking up . And i want to close my acount ! ! ! hel xxxURLyyy,xxxSNAMEyyy why i am unable to login ? neither customer care picking up . And i want to close my acount ! hell xxxURLyyy,0,1
15514,xxxSNAMEyyy sent !,xxxSNAMEyyy sent !,1,1
15515,xxxSNAMEyyy unable to apply for a credit card from your Branch ( code 2843 ) They say no one is available here for credit card .,xxxSNAMEyyy unable to apply for a credit card from your Branch ( code 2843 ) They say no one is available here for credit card .,1,1
15516,"xxxSNAMEyyy Dear Vaijayanthi Kari , we regret the inconvenience caused . Please register a complaint ( 1/2","xxxSNAMEyyy Dear Vaijayanthi Kari , we regret the inconvenience caused . Please register a complaint",1,1
15517,xxxSNAMEyyy I sent you a DM . Can you please help me ?,xxxSNAMEyyy I sent you a Direct Message . Can you please help me ?,1,1
15518,Aadhaar-SIM fraud : How a man lost Rs1.3 lakh from his salary account is a big lesson for all of us xxxSNAMEyyy xxxURLyyy,Aadhaar - SIM fraud : How a man lost Rupees 130000 from his salary account is a big lesson for all of us xxxSNAMEyyy xxxURLyyy ,0,1
15519,xxxSNAMEyyy Please elaborate on your query mentioning the purpose for which loan is sought . We will be happy to ( 1/2,xxxSNAMEyyy Please elaborate on your query mentioning the purpose for which loan is sought . We will be happy to,1,1
15520,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy i complaint from am in manager for delaying in services even no action perform by branch,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy i complaint from am in manager for delaying in services even no action perform by branch,0,1
15521,"xxxSNAMEyyy Hi Kalpesh Sundesha , we will get in touch with you to assist .","xxxSNAMEyyy Hi Kalpesh Sundesha , we will get in touch with you to assist .",1,1
15522,"xxxSNAMEyyy Hi Kaushik , image not visible . Please dm your email id from where you have written to us in order to ( 1/2","xxxSNAMEyyy Hi Kaushik , image not visible . Please direct message your email id from where you have written to us in order to",1,1
15523,xxxSNAMEyyy We have taken up the matter with concerned team and will respond to you on your registered email id in 5 ( 1/2,xxxSNAMEyyy We have taken up the matter with concerned team and will respond to you on your registered email id in 5 ,1,1
15524,xxxSNAMEyyy Please use link below to send your full name/ZIP/phone/account type and well follow up with you . ^mm xxxURLyyy,xxxSNAMEyyy Please use link below to send your full name or ZIP or phone or account type and we will follow up with you . xxxURLyyy,1,1
15525,"xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy from today morning numerous trials for booking , but failed due to HDFC technical issue","xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy from today morning numerous trials for booking , but failed due to HDFC technical issue",0,1
15526,xxxSNAMEyyy Is your branch open today IFSC : SBIN0000076 ?,xxxSNAMEyyy Is your branch open today IFSC : SBIN0000076 ?,1,1
15527,"xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy Okay as annoying as this is for you , that is hilarious .","xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy Okay as annoying as this is for you , that is hilarious .",0,1
15528,xxxSNAMEyyy need support for wrong neft transfer .,xxxSNAMEyyy need support for wrong NEFT transfer .,1,1
15529,xxxSNAMEyyy `` e-Services '' -gt ; '' SMS Alerts service '' ) . You may also subscribe for SMS Alerts using your State Bank Debit card at SBI ( 2/3,xxxSNAMEyyy ` e-Services '' -gt ; '' SMS Alerts service '' ) . You may also subscribe for SMS Alerts using your State Bank Debit card at SBI,1,1
15530,"xxxSNAMEyyy Dear Urvashi Kothari , please share the ticket reference number of the said complaint . We will look","xxxSNAMEyyy Dear Urvashi Kothari , please share the ticket reference number of the said complaint . We will look",1,1
15531,"xxxSNAMEyyy if I opt2transfer my account online , how does the address change takes place ? do I need2visit the new branch ? pls let me know","xxxSNAMEyyy if I opt to transfer my account online , how does the address change takes place ? do I need to visit the new branch ? please let me know",1,1
15532,xxxSNAMEyyy I had asked for a free credit card and your team assured me that the one I was being issued was goi xxxURLyyy,xxxSNAMEyyy I had asked for a free credit card and your team assured me that the one I was being issued was goi xxxURLyyy,1,1
15533,xxxSNAMEyyy the same was credited to your PayZapp wallet on 11th October 2017 and was utilized for further transaction - Anay 2/2,xxxSNAMEyyy the same was credited to your PayZapp wallet on 11/10/2017 and was utilized for further transaction,1,1
15534,xxxSNAMEyyy while our team facilitates a suitable resolution . ( 2/2,xxxSNAMEyyy while our team facilitates a suitable resolution .,1,1
15535,xxxSNAMEyyy issue solved,xxxSNAMEyyy issue solved,1,1
15536,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy A service request SR136740569 has be raised in ICICI but no response yet . Please help ! ... ./4,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy A service request SR136740569 has be raised in ICICI but no response yet . Please help !,1,1
15537,"xxxSNAMEyyy For assistance with unblocking your card , I recommend to ctc your card issuer for more information with your Visa card ( 2/2 ) JC","xxxSNAMEyyy For assistance with unblocking your card , I recommend to cost to company your card issuer for more information with your Visa card",1,1
15538,xxxSNAMEyyy details athttps : //xxxURLyyy ( 2/2,xxxSNAMEyyy details at xxxURLyyy ,1,1
15539,"xxxSNAMEyyy Please note the validity of cheques of former Associate Banks has been extended till 31st December , 2017 .",xxxSNAMEyyy Please note the validity of cheques of former Associate Banks has been extended till 31/12/2017 .,1,1
15540,xxxSNAMEyyy Call me at +61422731379 will explain the details ...,xxxSNAMEyyy Call me at +61422731379 will explain the details .,1,1
15541,"xxxSNAMEyyy xxxSNAMEyyy shares customer numbers with agencies and they in turn call for personal loans and credit cards , harassments","xxxSNAMEyyy xxxSNAMEyyy shares customer numbers with agencies and they in turn call for personal loans and credit cards , harassments",0,1
15542,xxxSNAMEyyy Rubbish ! You people are totally incapable . Inspite of tweeting nothing resolved . That 's how shameless you are . Pathetic !,xxxSNAMEyyy Rubbish ! You people are totally incapable . Inspite of tweeting nothing resolved . That is how shameless you are . Pathetic !,0,1
15543,xxxSNAMEyyy xxxSNAMEyyy Can you please produce the letter or directive that seeks to link Aadhaar with bank account ? And if no Aadhaar ?,xxxSNAMEyyy xxxSNAMEyyy Can you please produce the letter or directive that seeks to link Aadhaar with bank account ? And if no Aadhaar ?,1,1
15544,xxxSNAMEyyy why is a withdrawal from PayPal to my bank account pending ? ? ?,xxxSNAMEyyy why is a withdrawal from PayPal to my bank account pending ?,1,1
15545,xxxSNAMEyyy We regret the inconvenience caused.We have re-opened the complaint with ticket number 3350781663 for proper ( 1/3,xxxSNAMEyyy We regret the inconvenience caused . We have re-opened the complaint with ticket number 3350781663 for proper,1,1
15546,xxxSNAMEyyy check and get back to you . -Anay ( 2/2,xxxSNAMEyyy check and get back to you . ,1,1
15547,"xxxSNAMEyyy Hello , I understand how upsetting it is when you can not move money into the account of your choice . xxxURLyyy","xxxSNAMEyyy Hello , I understand how upsetting it is when you can not move money into the account of your choice . xxxURLyyy",1,1
15548,SBI never disappoints xxxSNAMEyyy xxxURLyyy,SBI never disappoints xxxSNAMEyyy xxxURLyyy,2,1
15549,"xxxSNAMEyyy grievance resolution . Hence , we request you to register your specific complaint , if any , at xxxURLyyy","xxxSNAMEyyy grievance resolution . Hence , we request you to register your specific complaint , if any , at xxxURLyyy",1,1
15550,"xxxSNAMEyyy Hi , Bank of America proactively monitors your accounts for fraud with industry-leading fraud protection measures . ^vt","xxxSNAMEyyy Hi , Bank of America proactively monitors your accounts for fraud with industry leading fraud protection measures . ",1,1
15551,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxURLyyy,,1,-1
15552,xxxSNAMEyyy xxxSNAMEyyy I tried many times to contact customer care but did n't get any response and also visited nearest branch,xxxSNAMEyyy xxxSNAMEyyy I tried many times to contact customer care but did not get any response and also visited nearest branch,0,1
15553,"xxxSNAMEyyy Hi , thanks for reaching out . Please send us your full name/ZIP/phone # /account type amp ; our Social Care Team will call you.^rr","xxxSNAMEyyy Hi , thanks for reaching out . Please send us your full name , ZIP , phone number , account type and our Social Care Team will call you .",1,1
15554,xxxSNAMEyyy Hi I am waiting for your reply plz help me out,xxxSNAMEyyy Hi I am waiting for your reply please help me out,1,1
15555,xxxSNAMEyyy Reference number is 33136146 and 34446255,xxxSNAMEyyy Reference number is 33136146 and 34446255,1,1
15556,"xxxSNAMEyyy Kindly could you launch the BHIM SBI Pay app for - Apple ios , ASAP","xxxSNAMEyyy Kindly could you launch the BHIM SBI Pay app for Apple ios , As Soon As Possible",1,1
15557,xxxSNAMEyyy xxxSNAMEyyy Reply to my DM I 've been trying to contact you for 3 days ! 3 WHOLE DAYS ! Thanks for the great xxxURLyyy,xxxSNAMEyyy xxxSNAMEyyy Reply to my Direct Message I have been trying to contact you for 3 days ! 3 WHOLE DAYS ! Thanks for the great xxxURLyyy,0,1
15558,"The statement even wishes you a `` happy birthday '' if your birthday falls in the month ... Great work , xxxSNAMEyyy xxxURLyyy","The statement even wishes you a `happy birthday ' if your birthday falls in the month . Great work , xxxSNAMEyyy xxxURLyyy",2,1
15559,xxxSNAMEyyy We regret the inconvenience caused to you in registering for our OnlineSBI services . You may register to ( 1/5,xxxSNAMEyyy We regret the inconvenience caused to you in registering for our OnlineSBI services . You may register to,1,1
15560,"xxxSNAMEyyy I 'm sorry to hear of any frustration , Paula . If you need any help , please send a DM . ^IN","xxxSNAMEyyy I am sorry to hear of any frustration , Paula . If you need any help , please send a Direct Message .",1,1
15561,xxxSNAMEyyy Charges ( Updated Upto 24.77.2017 ) for information in this regard . In case the charges applied are not in line with the ( 2/4,xxxSNAMEyyy Charges ( Updated Upto 24.77.2017 ) for information in this regard . In case the charges applied are not in line with the,1,1
15562,"xxxSNAMEyyy xxxSNAMEyyy is there an option , to add the biller KSEB xxxSNAMEyyy , for an easy bill payment ! ! !","xxxSNAMEyyy xxxSNAMEyyy is there an option , to add the biller KSEB xxxSNAMEyyy , for an easy bill payment !",1,1
15563,xxxSNAMEyyy You may access your account statement through our OnlineSBI . You may also connect with your branch for obtaining ( 1/2,xxxSNAMEyyy You may access your account statement through our OnlineSBI . You may also connect with your branch for obtaining,1,1
15564,"xxxSNAMEyyy Hi , SR- 1710040313 is pending from 9th Oct and still not any xxxURLyyy much time ?","xxxSNAMEyyy Hi , SR- 1710040313 is pending from 09/10/2017 and still not any xxxURLyyy much time ?",1,1
15565,xxxSNAMEyyy when u contct please tell me,xxxSNAMEyyy when you contact please tell me,1,1
15566,xxxSNAMEyyy Please send your full name/zip/phone number . ^az xxxURLyyy,xxxSNAMEyyy Please send your full name or zip or phone number . xxxURLyyy,1,1
15567,"xxxSNAMEyyy details , and your registered contact details mentioning reference Id TW1710171210 in the subject line . The concerned ( 2/3","xxxSNAMEyyy details , and your registered contact details mentioning reference Id TW1710171210 in the subject line . The concerned",1,1
15568,"xxxSNAMEyyy Hi , we regret the inconvenience caused . Please DM us your contact details . Our official will contact you . 1/2","xxxSNAMEyyy Hi , we regret the inconvenience caused . Please Direct Message us your contact details . Our official will contact you .",1,1
15569,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy Great step towards society,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy Great step towards society,2,1
15570,"xxxSNAMEyyy Dear Customer , SBI or its employees never seek sensitive information like Card details , internet banking ( 1/3","xxxSNAMEyyy Dear Customer , SBI or its employees never seek sensitive information like Card details , internet banking",1,1
15571,xxxSNAMEyyy you will do nothing only look into the matter . your SBI LOCAL HEAD OFFICE PEOPLE calling me and told branch will do this,xxxSNAMEyyy you will do nothing only look into the matter . your SBI LOCAL HEAD OFFICE PEOPLE calling me and told branch will do this,0,1
15572,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy How can you let this happen ? Personal information breach is a seri xxxURLyyy,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy How can you let this happen ? Personal information breach is a serious xxxURLyyy,0,1
15573,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy Applied fo xxxURLyyy,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy Applied for xxxURLyyy,1,1
15574,"xxxSNAMEyyy Hi Angela , were here to help ; let me know what I can do . ^am","xxxSNAMEyyy Hi Angela , we are here to help . let me know what I can do .",1,1
15575,xxxSNAMEyyy Number ( TIN ) or your Debit Card number/ ATM Card number/ Bearer Card number and associated PIN to verify yourself on ( 2/4,xxxSNAMEyyy Number ( TIN ) or your Debit Card number or ATM Card number or Bearer Card number and associated PIN to verify yourself on,1,1
15576,xxxSNAMEyyy Request you to elaborate your concerns pertaining to the charges and the date of charges levied ( 2/3,xxxSNAMEyyy Request you to elaborate your concerns pertaining to the charges and the date of charges levied,1,1
15577,1 ) xxxSNAMEyyy my 500+ rs deducted due to low balance ... When i opended my account it was 0 balance account ... My salary is 7853 rs,1 ) xxxSNAMEyyy my 500 rupees deducted due to low balance . When i opened my account it was 0 balance account . My salary is 7853 rupees,1,1
15578,"xxxSNAMEyyy instrument.However , he had been informed to describe the details whereabout cheque deposited.He assured to let us know ( 4/5","xxxSNAMEyyy instrument . However , he had been informed to describe the details whereabout cheque deposited . He assured to let us know",1,1
15579,xxxSNAMEyyy Thank u sir,xxxSNAMEyyy Thank you sir,2,1
15580,"xxxSNAMEyyy Hi , we have your contact details in our records . We will have our official get in touch with you to assist .","xxxSNAMEyyy Hi , we have your contact details in our records . We will have our official get in touch with you to assist .",1,1
15581,xxxSNAMEyyy Guys got a client here trying to activate a subscription but they and we are getting a `` DNS Address '' error - any help ?,xxxSNAMEyyy Guys got a client here trying to activate a subscription but they and we are getting a `DNS Address ' error - any help ?,1,1
15582,xxxSNAMEyyy received a sms for charge on a card which i dont have . CustID 52716032 xxxURLyyy,xxxSNAMEyyy received a sms for charge on a card which i dont have . CustID 52716032 xxxURLyyy,1,1
15583,"xxxSNAMEyyy Hi there , Pay After Delivery is an option available at the merchant 's discretion . If they do n't like xxxURLyyy","xxxSNAMEyyy Hi there , Pay After Delivery is an option available at the merchant discretion . If they do not like xxxURLyyy",1,1
15584,xxxSNAMEyyy Can you please check DM from me ? xxxEMOyyy Thank You,xxxSNAMEyyy Can you please check Direct Message from me ? xxxEMOyyy Thank You,1,1
15585,xxxSNAMEyyy xxxSNAMEyyy There is any one who will be addressing this ? ? ?,xxxSNAMEyyy xxxSNAMEyyy There is any one who will be addressing this ?,1,1
15586,xxxSNAMEyyy bank credit cards department wrong charges applicable this is not fare comittment i close my account this fraud bankhdfc,xxxSNAMEyyy bank credit cards department . wrong charges applicable . this is not fair commitment . i close my account this fraud bank hdfc,0,1
15587,xxxSNAMEyyy hello sir good morning me Nazir khan mehar sir hmare village or granite field me ATM ki suvida uplapd ki jay MO . 7568537469,xxxSNAMEyyy hello sir good morning . me Nazir khan mehar sir FLAG village FLAG granite field FLAG ATM FLAG FLAG FLAG FLAG FLAG MO . 7568537469,1,1
15588,xxxSNAMEyyy aye whats wrong with yall ? ? ?,xxxSNAMEyyy what is wrong with you all ?,0,1
15589,"xxxSNAMEyyy Hello . Thank you for reaching out to us , and sorry for the delayed response . Do you need assistance ? I xxxURLyyy","xxxSNAMEyyy Hello . Thank you for reaching out to us , and sorry for the delayed response . Do you need assistance ? I xxxURLyyy",1,1
15590,"xxxSNAMEyyy Hi , please DM us your contact details and our official will contact you . xxxURLyyy","xxxSNAMEyyy Hi , please Direct Message us your contact details and our official will contact you . xxxURLyyy",1,1
15591,"xxxSNAMEyyy Hi Prashant , please write to talktousxxxSNAMEyyy.com with the details of the standing instruction that ( 1/2","xxxSNAMEyyy Hi Prashant , please write to talktousxxxSNAMEyyy.com with the details of the standing instruction that",1,1
15592,xxxSNAMEyyy 39 minutes at this point . Do n't even think anyone is there,xxxSNAMEyyy 39 minutes at this point . Do not even think anyone is there,1,1
15593,xxxSNAMEyyy enable us to assist you further . Sorry for the trouble . ( 2/2,xxxSNAMEyyy enable us to assist you further . Sorry for the trouble . ,1,1
15594,xxxSNAMEyyy and confirm . Sorry for the delay and the trouble faced in this regard . However please treat this incident in isolation ( 2/4,xxxSNAMEyyy and confirm . Sorry for the delay and the trouble faced in this regard . However please treat this incident in isolation,1,1
15595,"xxxSNAMEyyy Apologies for the delay Maxi , we have sent you a DM just now . ^SK","xxxSNAMEyyy Apologies for the delay Maxi , we have sent you a Direct Message just now . ",1,1
15596,xxxSNAMEyyy Thanks for your e-mail . We have taken up the matter with the concerned team for resolution of the issue .,xxxSNAMEyyy Thanks for your e-mail . We have taken up the matter with the concerned team for resolution of the issue .,1,1
15597,xxxSNAMEyyy I already spoke to the manager what will I do with the cell number .,xxxSNAMEyyy I already spoke to the manager what will I do with the cell number .,1,1
15598,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy Why your employees made false promises to customer while registration ?,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy Why your employees made false promises to customer while registration ?,0,1
15599,xxxSNAMEyyy It 's been 1hr 30mins since you said you where getting me an account specialist . Where is he exactly ?,xxxSNAMEyyy It 's been 1hr 30mins since you said you where getting me an account specialist . Where is he exactly ?,0,1
15600,xxxSNAMEyyy Till when I have to wait for update ?,xxxSNAMEyyy Till when I have to wait for update ?,1,1
15601,"xxxSNAMEyyy Really ! ? That 's so totally annoying , especially since the interface is in German now . Come on guys , it 's just a phone number","xxxSNAMEyyy Really ! ? That is so totally annoying , especially since the interface is in German now . Come on guys , it is just a phone number",0,1
15602,xxxSNAMEyyy when u r solve a staff problem ? ?,xxxSNAMEyyy when you are solve staff problem ?,0,1
15603,"xxxSNAMEyyy Hi Ankur , Thank you for sharing your details . I will have this looked into today . -Manoj","xxxSNAMEyyy Hi Ankur , Thank you for sharing your details . I will have this looked into today . - Manoj",1,1
15604,xxxSNAMEyyy This made by u . But not right for poor people .,xxxSNAMEyyy This made by you . But not right for poor people .,0,1
15605,xxxSNAMEyyy xxxSNAMEyyy Why your bank wont send alerts for credit in account less than 5000 ? - Other banks have ths option xxxSNAMEyyy,xxxSNAMEyyy xxxSNAMEyyy Why your bank will not send alerts for credit in account less than Rupees 5000 ? - Other banks have this option xxxSNAMEyyy,0,1
15606,"xxxSNAMEyyy xxxSNAMEyyy swiped card inr 4135 txn canceled they didnot reverse amt , did not even send an email- hdfc ref 410239373","xxxSNAMEyyy xxxSNAMEyyy swiped card Rupees 4135 transaction cancelled they did not reverse amount , did not even send an email - hdfc Reference Number 410239373",0,1
15607,xxxSNAMEyyy Please refer to our earlier response for detailed information of your query .,xxxSNAMEyyy Please refer to our earlier response for detailed information of your query .,1,1
15608,xxxSNAMEyyy but got same answer from all that Maintenance of minimum balance does not exist . No such charges xxxURLyyy,xxxSNAMEyyy but got same answer from all that Maintenance of minimum balance does not exist . No such charges xxxURLyyy,1,1
15609,xxxSNAMEyyy channel approached for us to look into it . ( 2/2,xxxSNAMEyyy channel approached for us to look into it . ,1,1
15610,xxxSNAMEyyy the reason for closure to enable us assist you better . ( 3/3,xxxSNAMEyyy the reason for closure to enable us assist you better . ,1,1
15611,xxxSNAMEyyy I 'm really sorry to hear that.Please share your card No . with contact info amp ; the issue on ( 1/3,xxxSNAMEyyy I am really sorry to hear that . Please share your card Number with contact information and the issue on ,1,1
15612,xxxSNAMEyyy Please try again and if the issue continues please contact Tech Support at 800-933-6262 . ^il,xxxSNAMEyyy Please try again and if the issue continues please contact Tech Support at 800-933-6262 .,1,1
15613,xxxSNAMEyyy Plzz call waiting for it,xxxSNAMEyyy Please call waiting for it,1,1
15614,xxxSNAMEyyy get in touch with us if the issue persists . ( 2/2,xxxSNAMEyyy get in touch with us if the issue persists . ,1,1
15615,xxxSNAMEyyy Please share the ticket reference number of the said complaint . We will look into it .,xxxSNAMEyyy Please share the ticket reference number of the said complaint . We will look into it .,1,1
15616,xxxSNAMEyyy be reported to epg.cmsxxxSNAMEyyy.co.in and to the law enforcement agencies operating in your area . ( 3/3,xxxSNAMEyyy be reported to xxxSNAMEyyy and to the law enforcement agencies operating in your area . ,1,1
15617,"xxxSNAMEyyy We regret the inconvenience caused . We have taken up your matter with the department concerned , please ( 1/4","xxxSNAMEyyy We regret the inconvenience caused . We have taken up your matter with the department concerned , please ",1,1
15618,xxxSNAMEyyy provided at : xxxURLyyy for us to assist you . ( 2/2,xxxSNAMEyyy provided at : xxxURLyyy for us to assist you .,1,1
15619,xxxSNAMEyyy xxxSNAMEyyy Same answer I had received by your team and same word you are saying .,xxxSNAMEyyy xxxSNAMEyyy Same answer I had received by your team and same word you are saying .,1,1
15620,xxxSNAMEyyy We 're here to help . Pls use link below to send your full name/ZIP/phone and well follow up with you . ^mm xxxURLyyy,"xxxSNAMEyyy We are here to help . Please use link below to send your full name , ZIP , phone and we will follow up with you .  xxxURLyyy",1,1
15621,xxxSNAMEyyy As advised earlier please share the relevant details along with account number and contact details at ( 1/2,xxxSNAMEyyy As advised earlier please share the relevant details along with account number and contact details at ,1,1
15622,xxxSNAMEyyy As I complaint about greater Noida Alpha branch . BM did not process my address change request as revenge .,xxxSNAMEyyy As I complaint about greater Noida Alpha branch . Branch Manager did not process my address change request as revenge .,1,1
15623,xxxSNAMEyyy track your e-mail . -Anay ( 3/3,xxxSNAMEyyy track your email . - Anay ,1,1
15624,"xxxSNAMEyyy xxxSNAMEyyy Hi , I 've sent you a DM and it 's very urgent . Many thanks ! !","xxxSNAMEyyy xxxSNAMEyyy Hi , I have sent you a direct message and it is very urgent . Many thanks !",2,1
15625,"xxxSNAMEyyy ATM Katwaria sarai cashless since 16.10.17 , keyboards erased nt maintaining min balns SBI fines ... xxxURLyyy","xxxSNAMEyyy ATM Katwaria sarai cashless since 16/10/2017 , keyboards erased not maintaining minimum balance SBI fines . xxxURLyyy",0,1
15626,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy Cool ... ... ..,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy Cool .,2,1
15627,xxxSNAMEyyy you also closed a case i had open with no notice,xxxSNAMEyyy you also closed a case i had open with no notice,0,1
15628,"xxxSNAMEyyy Dear Anuj , we regret the inconvenience caused . Please register a complaint athttps : //xxxURLyyy under ( 1/2","xxxSNAMEyyy Dear Anuj , we regret the inconvenience caused . Please register a complaint at https : //xxxURLyyy under ",1,1
